rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,rainfall_30d_mm,soil_moisture_pct,temperature_24h_mean_c,relative_humidity_24h_mean_pct,slope_deg,elevation_m,ndvi,historical_events,landslide_occurred,sample_type,latitude,longitude,event_date,event_year,inventory_source,terrain_source,satellite_source,weather_source
0.0,0.0,0.0,0.0,21.894,-11.608,67.417,3.5,5165.0,0.0799,0,0,background_non_event,28.217610907280946,92.03317275017528,2016-02-01,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,30.475,-0.492,17.792,24.15,4315.0,0.0904,0,0,background_non_event,28.95222413341503,88.50858870513414,2016-02-01,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,39.015,4.967,86.75,49.03,2512.0,0.52547,0,0,background_non_event,28.376331326021337,95.99505008148985,2016-02-02,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,21.902,16.912,75.25,0.55,86.0,0.5482,0,0,background_non_event,26.63095609808574,88.96036351607968,2016-02-03,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,33.41,12.617,76.708,3.39,1580.0,0.311,0,0,background_non_event,25.504573424884317,91.4465909156644,2016-02-06,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,15.513,19.679,71.833,1.04,18.0,0.6452,0,0,background_non_event,24.275309609572144,89.2310989890155,2016-02-07,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,20.29,14.963,87.75,18.56,656.0,0.76423,0,0,background_non_event,24.70794552668392,93.37343418723557,2016-02-10,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,25.925,14.808,72.458,20.67,955.0,0.67826,0,0,background_non_event,24.33721708701945,94.59452674920391,2016-02-13,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,17.771,21.012,73.25,0.97,22.0,0.4313,0,1,observed_landslide,24.9007,91.8644,2016-02-16,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,20.742,23.021,70.958,7.32,108.0,0.64393,0,0,background_non_event,24.32962931579389,92.67080404389058,2016-02-17,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,45.16,19.287,78.708,31.7,457.0,0.8311,0,0,background_non_event,26.059564721763884,97.27493344809432,2016-02-17,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,35.121,16.208,80.333,27.44,601.0,0.72239,0,0,background_non_event,27.561064879817916,94.342939479468,2016-02-17,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,47.887,19.025,84.917,1.5,112.0,0.39344,0,0,background_non_event,26.40892775674553,93.91069376689728,2016-02-18,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,27.525,-11.433,78.0,31.99,5373.0,-0.0588,0,0,background_non_event,29.630592221791332,97.0741478021339,2016-02-19,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,30.633,18.392,66.125,5.94,663.0,0.54592,0,0,background_non_event,25.51748377469974,90.93376429053507,2016-02-24,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,37.654,18.583,89.25,1.04,19.0,0.4252,1,1,observed_landslide,25.1622,92.0104,2016-02-25,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,42.921,21.442,75.625,7.85,163.0,0.37212,0,0,background_non_event,25.766124539792216,92.73413210937639,2016-03-01,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,31.1,-15.567,78.958,28.65,4144.0,0.6255,0,0,background_non_event,29.220032108314967,97.20804054664256,2016-03-01,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,48.306,19.842,84.458,19.17,602.0,0.57953,0,0,background_non_event,26.342180575572137,93.51542285463906,2016-03-07,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,38.056,-11.496,77.417,43.63,4747.0,0.3351,0,0,background_non_event,29.21470983191755,92.56382430698596,2016-03-07,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,18.252,21.546,60.667,9.13,622.0,0.68889,0,0,background_non_event,24.751376068059827,94.64940310995857,2016-03-08,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,11.944,26.808,69.458,1.35,39.0,0.6226,0,0,background_non_event,22.99197949969186,92.18651673138375,2016-03-09,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,33.758,19.438,86.083,28.15,766.0,0.5859,0,0,background_non_event,25.13145059122028,93.36504744318857,2016-03-09,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,38.475,-6.004,77.208,6.45,4338.0,0.25533,0,0,background_non_event,29.540789671563793,93.72356302977016,2016-03-10,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,22.708,28.258,74.042,0.79,8.0,0.4525,0,0,background_non_event,22.71271359668661,88.35049451757004,2016-03-11,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,29.577,26.633,64.583,1.11,10.0,0.64739,0,0,background_non_event,24.00549940262314,90.57856609276627,2016-03-23,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,38.16,21.454,72.667,10.44,308.0,0.26204,0,0,background_non_event,25.690171008066788,93.25811506016699,2016-03-23,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,28.998,28.104,34.958,14.43,422.0,0.61452,0,0,background_non_event,24.822394304912013,95.66198866800035,2016-03-26,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,16.715,17.767,58.583,28.67,1821.0,0.6905,0,0,background_non_event,23.494661745758,93.62182589950187,2016-03-27,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,26.935,26.45,55.292,0.83,129.0,0.348,0,0,background_non_event,24.829780670176813,94.95414512124097,2016-04-01,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,41.781,10.404,89.5,19.66,2002.0,0.4103,0,0,background_non_event,27.56813399123483,93.91991769966377,2016-04-01,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,39.008,-8.221,77.708,8.22,5073.0,0.01039,0,0,background_non_event,29.553271836247532,92.18057156499746,2016-04-01,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,39.76,21.267,82.0,13.21,396.0,0.08904,1,1,observed_landslide,25.6219,96.2887,2016-04-02,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,35.86,20.787,83.208,12.75,914.0,0.6273,0,0,background_non_event,24.329047422778284,93.83689909203815,2016-04-03,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,24.285,25.254,81.75,0.78,70.0,0.7534,0,0,background_non_event,26.25738627554182,88.58446546481312,2016-04-04,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,35.517,30.383,73.167,1.59,13.0,0.56766,0,0,background_non_event,23.460785232902694,89.39816041580164,2016-04-07,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,31.733,29.158,56.5,16.65,210.0,0.6243,0,0,background_non_event,23.89522066671342,96.21576989926275,2016-04-08,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,31.452,29.092,48.083,9.44,367.0,0.63088,0,0,background_non_event,24.44094723174122,95.76569344483627,2016-04-09,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,19.419,5.475,25.458,19.39,4087.0,0.1083,0,0,background_non_event,29.06734283806159,88.69806765162136,2016-04-13,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,16.306,29.475,66.417,3.17,49.0,0.42698,0,0,background_non_event,22.391081005260023,92.19980497985566,2016-04-19,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,27.0,-9.95,90.0,40.92,5314.0,-0.0385,0,0,background_non_event,29.47595195546209,96.57251499359742,2016-04-19,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,48.971,19.054,94.417,5.59,693.0,0.3494,0,1,observed_landslide,26.7223,95.0243,2016-04-19,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,42.898,16.258,91.125,25.08,1468.0,0.5049,1,0,background_non_event,27.57968985996244,88.40506266372893,2016-04-22,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,42.806,11.383,93.417,26.27,2401.0,0.73943,0,1,observed_landslide,27.5523,91.752,2016-04-22,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,42.723,9.125,90.958,22.43,2757.0,0.32018,0,1,observed_landslide,27.5799,91.8569,2016-04-22,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,27.444,32.742,49.042,0.54,131.0,0.17192,0,0,background_non_event,22.289455723317964,94.93064050873174,2016-04-24,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,30.95,-8.475,87.708,29.72,5410.0,-0.07697,0,0,background_non_event,29.548972665650346,97.20707059537496,2016-04-24,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,33.458,28.942,61.958,7.98,279.0,0.9118,0,0,background_non_event,25.09783154827255,95.88727963567695,2016-04-29,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,48.688,22.475,91.917,1.06,157.0,0.7899,0,0,background_non_event,26.129823656114407,93.74364678245666,2016-04-30,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,42.373,14.279,82.875,33.74,1924.0,0.851,0,0,background_non_event,27.68541868948641,91.09708735330338,2016-05-01,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,42.077,20.604,75.375,18.19,576.0,0.77033,0,1,observed_landslide,28.0822,96.5316,2016-05-01,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,25.373,27.425,75.417,1.69,32.0,0.23284,0,0,background_non_event,25.14118981078508,88.38085427665273,2016-05-05,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,37.421,26.6,71.667,20.82,565.0,0.83099,0,0,background_non_event,26.08056043869727,97.01328158368965,2016-05-12,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,42.673,24.713,92.542,6.79,95.0,0.7097,0,1,observed_landslide,24.4638,92.4943,2016-05-18,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,42.433,25.417,91.833,0.91,44.0,0.6579,0,1,observed_landslide,24.5202,92.7239,2016-05-18,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,42.433,25.417,91.833,1.09,46.0,0.6009,0,1,observed_landslide,24.5204,92.7264,2016-05-18,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,42.673,24.863,92.542,6.5,68.0,0.8267,0,1,observed_landslide,24.5308,92.5121,2016-05-18,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,41.842,25.713,87.917,9.29,43.0,0.792,0,1,observed_landslide,22.6239,91.6743,2016-05-21,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,47.152,25.058,84.792,7.78,379.0,0.04745,2,1,observed_landslide,25.6127,96.2961,2016-05-23,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,48.979,23.825,92.042,5.92,288.0,0.82148,0,0,background_non_event,26.736899073710703,96.52799106903082,2016-05-25,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,36.962,17.533,80.583,21.21,1729.0,0.9115,0,0,background_non_event,23.134618683964945,93.29920650856103,2016-05-26,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,36.712,29.367,82.375,1.03,11.0,0.8227,0,0,background_non_event,22.85372833737442,90.17298107278958,2016-05-27,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,39.321,28.812,83.5,0.64,7.0,0.6135,0,0,background_non_event,23.24057633820831,90.1869521739747,2016-05-27,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,39.319,22.667,81.042,9.69,960.0,0.19,0,0,background_non_event,23.654105223351053,93.12801023891905,2016-05-27,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,41.65,22.338,90.125,29.09,546.0,0.8676,0,0,background_non_event,27.06959072928799,91.36675156299783,2016-05-27,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,42.125,17.367,88.958,23.41,1548.0,0.2221,0,0,background_non_event,28.165389245706884,93.26555199636257,2016-05-29,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
